Year of Birth,Gender,Ethnicity,name
2011,MALE,HISPANIC,JORDAN
2012,MALE,HISPANIC,ANGEL
2015,MALE,HISPANIC,Dylan
2011,MALE,HISPANIC,RYAN
2012,MALE,WHITE NON HISP,AVERY
2013,MALE,WHITE NON HISPANIC,Logan
2015,FEMALE,WHITE NON HISPANIC,Riley
2013,FEMALE,BLACK NON HISPANIC,Ariel
2013,FEMALE,WHITE NON HISPANIC,Peyton
2011,MALE,WHITE NON HISPANIC,CHARLIE
2013,MALE,WHITE NON HISPANIC,Riley
2017,MALE,BLACK NON HISPANIC,Logan
2014,FEMALE,BLACK NON HISPANIC,Milan
2013,MALE,BLACK NON HISPANIC,Cameron
2014,MALE,BLACK NON HISPANIC,Dylan
2011,MALE,HISPANIC,TAYLOR
2013,FEMALE,BLACK NON HISPANIC,Ariel
2012,FEMALE,WHITE NON HISP,YAEL
2013,MALE,HISPANIC,Dylan
2012,MALE,BLACK NON HISP,RYAN
2016,MALE,ASIAN AND PACIFIC ISLANDER,Dylan
2011,MALE,WHITE NON HISPANIC,ARIEL
2017,FEMALE,BLACK NON HISPANIC,Angel
2013,MALE,HISPANIC,Angel
2013,FEMALE,WHITE NON HISPANIC,Alexis
2012,MALE,HISPANIC,ANGEL
2016,MALE,HISPANIC,Ryan
2012,FEMALE,BLACK NON HISP,ARIEL
2012,MALE,HISPANIC,ANGEL
2014,MALE,HISPANIC,Logan
2015,MALE,ASIAN AND PACIFIC ISLANDER,Ryan
2012,MALE,ASIAN AND PACI,DYLAN
2017,MALE,ASIAN AND PACIFIC ISLANDER,Ryan
2012,FEMALE,WHITE NON HISP,AVERY
2013,FEMALE,HISPANIC,Riley
2012,MALE,ASIAN AND PACI,RYAN
2013,MALE,HISPANIC,Alexis
2013,FEMALE,HISPANIC,Taylor
2012,MALE,BLACK NON HISP,DYLAN
2014,FEMALE,HISPANIC,Peyton
2012,MALE,ASIAN AND PACI,RYAN
2014,FEMALE,BLACK NON HISPANIC,Phoenix
2013,FEMALE,BLACK NON HISPANIC,Riley
2013,MALE,HISPANIC,Dylan
2014,MALE,HISPANIC,Dylan
2013,MALE,BLACK NON HISPANIC,Logan
2014,MALE,WHITE NON HISPANIC,Dylan
2014,FEMALE,BLACK NON HISPANIC,Skyler
2017,FEMALE,BLACK NON HISPANIC,Ariel
2012,MALE,WHITE NON HISP,CHARLIE
2011,MALE,BLACK NON HISPANIC,ANGEL
2014,FEMALE,WHITE NON HISPANIC,Dylan
2016,MALE,HISPANIC,Ryan
2013,FEMALE,WHITE NON HISPANIC,Avery
2014,FEMALE,BLACK NON HISPANIC,Skyler
2012,MALE,WHITE NON HISP,KAI
2017,MALE,WHITE NON HISPANIC,Finley
2011,FEMALE,WHITE NON HISPANIC,RILEY
2014,MALE,ASIAN AND PACIFIC ISLANDER,Ryan
2015,MALE,HISPANIC,Dylan
2012,FEMALE,BLACK NON HISP,RILEY
2012,MALE,WHITE NON HISP,CAMERON
2014,MALE,WHITE NON HISPANIC,Ryan
2013,MALE,HISPANIC,Dylan
2012,MALE,ASIAN AND PACI,RYAN
2016,FEMALE,ASIAN AND PACIFIC ISLANDER,Avery
2014,FEMALE,WHITE NON HISPANIC,Charlie
2011,MALE,HISPANIC,RYAN
2017,MALE,WHITE NON HISPANIC,Dylan
2011,MALE,HISPANIC,ANGEL
2014,MALE,BLACK NON HISPANIC,Cameron
2015,MALE,BLACK NON HISPANIC,Angel
2011,MALE,HISPANIC,RILEY
2012,FEMALE,WHITE NON HISP,TAYLOR
2015,MALE,WHITE NON HISPANIC,Rowan
2013,MALE,WHITE NON HISPANIC,Ariel
2013,MALE,WHITE NON HISPANIC,Ryan
2013,MALE,HISPANIC,Angel
2013,FEMALE,BLACK NON HISPANIC,Peyton
2017,MALE,WHITE NON HISPANIC,Logan
2013,MALE,BLACK NON HISPANIC,Ryan
2013,MALE,HISPANIC,Logan
2013,MALE,WHITE NON HISPANIC,Ryan
2011,FEMALE,WHITE NON HISPANIC,ALEXIS
2014,MALE,WHITE NON HISPANIC,Ryan
2013,MALE,HISPANIC,Ryan
2011,MALE,WHITE NON HISPANIC,PARKER
2014,FEMALE,WHITE NON HISPANIC,Taylor
2014,MALE,WHITE NON HISPANIC,Jordan
2013,FEMALE,HISPANIC,Peyton
2012,MALE,HISPANIC,ANGEL
2014,FEMALE,WHITE NON HISPANIC,Peyton
2015,MALE,BLACK NON HISPANIC,Peyton
2017,MALE,WHITE NON HISPANIC,Dylan
2014,MALE,HISPANIC,Angel
2011,MALE,ASIAN AND PACIFIC ISLANDER,DYLAN
2014,MALE,HISPANIC,Logan
2011,MALE,BLACK NON HISPANIC,NANA
2013,MALE,WHITE NON HISPANIC,Logan
2012,MALE,HISPANIC,ANGEL
2016,MALE,WHITE NON HISPANIC,Charlie
2017,MALE,HISPANIC,Angel
2013,FEMALE,BLACK NON HISPANIC,Ariel
2011,MALE,HISPANIC,ALEXIS
2017,MALE,ASIAN AND PACIFIC ISLANDER,Logan
2013,MALE,WHITE NON HISPANIC,Dylan
2016,FEMALE,HISPANIC,Alexis
2012,FEMALE,HISPANIC,ARIEL
